Date Time - GMT -05:00,"Temp, (*F)","Intensity, (lum/ftÂ²)",Low Power,EOF
11/14/2019 13:06,72.38,4, , 
11/14/2019 14:06,64.27,47, , 
11/14/2019 15:06,64.74,29, , 
11/14/2019 16:06,61.88,11, , 
11/14/2019 17:06,60.88,3, , 
11/14/2019 18:06,58.87,0, , 
11/14/2019 19:06,58.02,0, , 
11/14/2019 20:06,57.25,0, , 
11/14/2019 21:06,57.4,0, , 
11/14/2019 22:06,57.94,0, , 
11/14/2019 23:06,58.33,0, , 
11/15/2019 0:06,57.94,0, , 
11/15/2019 1:06,57.09,0, , 
11/15/2019 2:06,55.7,0, , 
11/15/2019 3:06,55.16,0, , 
11/15/2019 4:06,55.24,0, , 
11/15/2019 5:06,55.78,0, , 
11/15/2019 6:06,57.48,0, , 
11/15/2019 7:06,57.56,1, , 
11/15/2019 8:06,57.94,19, , 
11/15/2019 9:06,56.01,18, , 
11/15/2019 10:06,55.01,24, , 
11/15/2019 11:06,55.7,36, , 
11/15/2019 12:06,56.17,53, , 
11/15/2019 13:06,56.78,62, , 
11/15/2019 14:06,56.94,26, , 
11/15/2019 14:55, , ,Logged,Logged
